weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,39.666666666666664,Freitag,January
Friday,1,1,23.0,Freitag,January
Friday,1,2,12.333333333333334,Freitag,January
Friday,1,3,20.333333333333332,Freitag,January
Friday,1,4,26.666666666666668,Freitag,January
Friday,1,5,81.66666666666667,Freitag,January
Friday,1,6,202.66666666666666,Freitag,January
Friday,1,7,317.3333333333333,Freitag,January
Friday,1,8,310.3333333333333,Freitag,January
Friday,1,9,290.3333333333333,Freitag,January
Friday,1,10,310.0,Freitag,January
Friday,1,11,365.0,Freitag,January
Friday,1,12,362.0,Freitag,January
Friday,1,13,393.3333333333333,Freitag,January
Friday,1,14,380.3333333333333,Freitag,January
Friday,1,15,453.3333333333333,Freitag,January
Friday,1,16,505.6666666666667,Freitag,January
Friday,1,17,469.3333333333333,Freitag,January
Friday,1,18,400.0,Freitag,January
Friday,1,19,304.6666666666667,Freitag,January
Friday,1,20,224.33333333333334,Freitag,January
Friday,1,21,179.0,Freitag,January
Friday,1,22,168.66666666666666,Freitag,January
Friday,1,23,122.66666666666667,Freitag,January
Friday,2,0,43.5,Freitag,February
Friday,2,1,23.5,Freitag,February
Friday,2,2,12.75,Freitag,February
Friday,2,3,16.75,Freitag,February
Friday,2,4,22.5,Freitag,February
Friday,2,5,88.75,Freitag,February
Friday,2,6,238.0,Freitag,February
Friday,2,7,364.5,Freitag,February
Friday,2,8,314.75,Freitag,February
Friday,2,9,322.5,Freitag,February
Friday,2,10,340.5,Freitag,February
Friday,2,11,373.25,Freitag,February
Friday,2,12,377.5,Freitag,February
Friday,2,13,415.5,Freitag,February
Friday,2,14,407.5,Freitag,February
Friday,2,15,495.0,Freitag,February
Friday,2,16,557.75,Freitag,February
Friday,2,17,494.0,Freitag,February
Friday,2,18,423.0,Freitag,February
Friday,2,19,298.25,Freitag,February
Friday,2,20,229.75,Freitag,February
Friday,2,21,183.5,Freitag,February
Friday,2,22,159.75,Freitag,February
Friday,2,23,142.25,Freitag,February
Friday,3,0,42.75,Freitag,March
Friday,3,1,28.75,Freitag,March
Friday,3,2,17.0,Freitag,March
Friday,3,3,19.0,Freitag,March
Friday,3,4,32.25,Freitag,March
Friday,3,5,94.25,Freitag,March
Friday,3,6,248.0,Freitag,March
Friday,3,7,360.0,Freitag,March
Friday,3,8,353.5,Freitag,March
Friday,3,9,320.25,Freitag,March
Friday,3,10,357.0,Freitag,March
Friday,3,11,396.25,Freitag,March
Friday,3,12,395.0,Freitag,March
Friday,3,13,430.75,Freitag,March
Friday,3,14,413.5,Freitag,March
Friday,3,15,495.5,Freitag,March
Friday,3,16,551.75,Freitag,March
Friday,3,17,506.0,Freitag,March
Friday,3,18,451.0,Freitag,March
Friday,3,19,339.25,Freitag,March
Friday,3,20,280.5,Freitag,March
Friday,3,21,217.25,Freitag,March
Friday,3,22,189.5,Freitag,March
Friday,3,23,149.25,Freitag,March
Friday,4,0,37.25,Freitag,April
Friday,4,1,23.0,Freitag,April
Friday,4,2,12.5,Freitag,April
Friday,4,3,17.25,Freitag,April
Friday,4,4,26.0,Freitag,April
Friday,4,5,85.25,Freitag,April
Friday,4,6,222.75,Freitag,April
Friday,4,7,325.75,Freitag,April
Friday,4,8,311.75,Freitag,April
Friday,4,9,316.0,Freitag,April
Friday,4,10,328.0,Freitag,April
Friday,4,11,375.0,Freitag,April
Friday,4,12,358.5,Freitag,April
Friday,4,13,369.5,Freitag,April
Friday,4,14,403.0,Freitag,April
Friday,4,15,450.0,Freitag,April
Friday,4,16,517.0,Freitag,April
Friday,4,17,482.0,Freitag,April
Friday,4,18,376.0,Freitag,April
Friday,4,19,291.0,Freitag,April
Friday,4,20,204.25,Freitag,April
Friday,4,21,189.0,Freitag,April
Friday,4,22,150.75,Freitag,April
Friday,4,23,133.0,Freitag,April
Friday,5,0,40.6,Freitag,May
Friday,5,1,26.2,Freitag,May
Friday,5,2,13.4,Freitag,May
Friday,5,3,16.8,Freitag,May
Friday,5,4,29.2,Freitag,May
Friday,5,5,87.0,Freitag,May
Friday,5,6,208.6,Freitag,May
Friday,5,7,300.4,Freitag,May
Friday,5,8,296.4,Freitag,May
Friday,5,9,305.6,Freitag,May
Friday,5,10,336.2,Freitag,May
Friday,5,11,362.6,Freitag,May
Friday,5,12,355.4,Freitag,May
Friday,5,13,396.6,Freitag,May
Friday,5,14,393.6,Freitag,May
Friday,5,15,436.0,Freitag,May
Friday,5,16,512.0,Freitag,May
Friday,5,17,457.8,Freitag,May
Friday,5,18,396.8,Freitag,May
Friday,5,19,282.0,Freitag,May
Friday,5,20,222.6,Freitag,May
Friday,5,21,185.0,Freitag,May
Friday,5,22,169.4,Freitag,May
Friday,5,23,130.4,Freitag,May
Friday,6,0,49.25,Freitag,June
Friday,6,1,30.25,Freitag,June
Friday,6,2,21.5,Freitag,June
Friday,6,3,23.25,Freitag,June
Friday,6,4,34.75,Freitag,June
Friday,6,5,102.75,Freitag,June
Friday,6,6,253.0,Freitag,June
Friday,6,7,357.5,Freitag,June
Friday,6,8,347.25,Freitag,June
Friday,6,9,343.0,Freitag,June
Friday,6,10,347.25,Freitag,June
Friday,6,11,396.75,Freitag,June
Friday,6,12,381.75,Freitag,June
Friday,6,13,418.75,Freitag,June
Friday,6,14,462.75,Freitag,June
Friday,6,15,488.0,Freitag,June
Friday,6,16,525.75,Freitag,June
Friday,6,17,494.25,Freitag,June
Friday,6,18,411.75,Freitag,June
Friday,6,19,317.0,Freitag,June
Friday,6,20,229.5,Freitag,June
Friday,6,21,189.0,Freitag,June
Friday,6,22,180.5,Freitag,June
Friday,6,23,148.0,Freitag,June
Friday,7,0,47.666666666666664,Freitag,July
Friday,7,1,29.0,Freitag,July
Friday,7,2,19.0,Freitag,July
Friday,7,3,22.0,Freitag,July
Friday,7,4,27.333333333333332,Freitag,July
Friday,7,5,100.33333333333333,Freitag,July
Friday,7,6,240.0,Freitag,July
Friday,7,7,311.3333333333333,Freitag,July
Friday,7,8,305.0,Freitag,July
Friday,7,9,318.6666666666667,Freitag,July
Friday,7,10,347.3333333333333,Freitag,July
Friday,7,11,385.3333333333333,Freitag,July
Friday,7,12,370.0,Freitag,July
Friday,7,13,384.3333333333333,Freitag,July
Friday,7,14,403.3333333333333,Freitag,July
Friday,7,15,437.6666666666667,Freitag,July
Friday,7,16,490.6666666666667,Freitag,July
Friday,7,17,466.6666666666667,Freitag,July
Friday,7,18,363.3333333333333,Freitag,July
Friday,7,19,270.0,Freitag,July
Friday,7,20,197.0,Freitag,July
Friday,7,21,195.33333333333334,Freitag,July
Friday,7,22,167.33333333333334,Freitag,July
Friday,7,23,124.66666666666667,Freitag,July
Friday,8,0,48.0,Freitag,August
Friday,8,1,33.4,Freitag,August
Friday,8,2,18.4,Freitag,August
Friday,8,3,16.0,Freitag,August
Friday,8,4,24.6,Freitag,August
Friday,8,5,83.6,Freitag,August
Friday,8,6,201.6,Freitag,August
Friday,8,7,294.4,Freitag,August
Friday,8,8,283.4,Freitag,August
Friday,8,9,295.0,Freitag,August
Friday,8,10,318.4,Freitag,August
Friday,8,11,348.6,Freitag,August
Friday,8,12,328.4,Freitag,August
Friday,8,13,355.6,Freitag,August
Friday,8,14,360.8,Freitag,August
Friday,8,15,413.4,Freitag,August
Friday,8,16,463.0,Freitag,August
Friday,8,17,440.4,Freitag,August
Friday,8,18,346.8,Freitag,August
Friday,8,19,278.8,Freitag,August
Friday,8,20,212.4,Freitag,August
Friday,8,21,189.2,Freitag,August
Friday,8,22,159.4,Freitag,August
Friday,8,23,115.8,Freitag,August
Friday,9,0,41.25,Freitag,September
Friday,9,1,25.5,Freitag,September
Friday,9,2,16.0,Freitag,September
Friday,9,3,18.75,Freitag,September
Friday,9,4,28.5,Freitag,September
Friday,9,5,99.25,Freitag,September
Friday,9,6,247.25,Freitag,September
Friday,9,7,355.5,Freitag,September
Friday,9,8,325.5,Freitag,September
Friday,9,9,335.5,Freitag,September
Friday,9,10,343.25,Freitag,September
Friday,9,11,381.75,Freitag,September
Friday,9,12,381.0,Freitag,September
Friday,9,13,407.0,Freitag,September
Friday,9,14,437.0,Freitag,September
Friday,9,15,484.25,Freitag,September
Friday,9,16,507.75,Freitag,September
Friday,9,17,523.75,Freitag,September
Friday,9,18,431.75,Freitag,September
Friday,9,19,338.5,Freitag,September
Friday,9,20,248.0,Freitag,September
Friday,9,21,191.75,Freitag,September
Friday,9,22,169.75,Freitag,September
Friday,9,23,135.75,Freitag,September
Friday,10,0,37.0,Freitag,October
Friday,10,1,25.25,Freitag,October
Friday,10,2,18.0,Freitag,October
Friday,10,3,18.0,Freitag,October
Friday,10,4,39.75,Freitag,October
Friday,10,5,93.25,Freitag,October
Friday,10,6,226.75,Freitag,October
Friday,10,7,346.75,Freitag,October
Friday,10,8,313.25,Freitag,October
Friday,10,9,323.75,Freitag,October
Friday,10,10,336.0,Freitag,October
Friday,10,11,388.0,Freitag,October
Friday,10,12,360.75,Freitag,October
Friday,10,13,396.75,Freitag,October
Friday,10,14,438.5,Freitag,October
Friday,10,15,491.0,Freitag,October
Friday,10,16,529.5,Freitag,October
Friday,10,17,468.5,Freitag,October
Friday,10,18,403.0,Freitag,October
Friday,10,19,308.5,Freitag,October
Friday,10,20,226.0,Freitag,October
Friday,10,21,195.5,Freitag,October
Friday,10,22,172.75,Freitag,October
Friday,10,23,128.25,Freitag,October
Friday,11,0,42.8,Freitag,November
Friday,11,1,33.2,Freitag,November
Friday,11,2,18.6,Freitag,November
Friday,11,3,18.4,Freitag,November
Friday,11,4,32.2,Freitag,November
Friday,11,5,99.0,Freitag,November
Friday,11,6,233.0,Freitag,November
Friday,11,7,347.8,Freitag,November
Friday,11,8,326.4,Freitag,November
Friday,11,9,332.6,Freitag,November
Friday,11,10,360.4,Freitag,November
Friday,11,11,411.8,Freitag,November
Friday,11,12,408.0,Freitag,November
Friday,11,13,409.4,Freitag,November
Friday,11,14,448.6,Freitag,November
Friday,11,15,482.4,Freitag,November
Friday,11,16,535.0,Freitag,November
Friday,11,17,501.6,Freitag,November
Friday,11,18,407.8,Freitag,November
Friday,11,19,312.6,Freitag,November
Friday,11,20,227.2,Freitag,November
Friday,11,21,194.0,Freitag,November
Friday,11,22,198.0,Freitag,November
Friday,11,23,196.2,Freitag,November
Friday,12,0,50.0,Freitag,December
Friday,12,1,37.25,Freitag,December
Friday,12,2,22.0,Freitag,December
Friday,12,3,24.25,Freitag,December
Friday,12,4,34.5,Freitag,December
Friday,12,5,77.75,Freitag,December
Friday,12,6,196.25,Freitag,December
Friday,12,7,288.5,Freitag,December
Friday,12,8,285.75,Freitag,December
Friday,12,9,306.25,Freitag,December
Friday,12,10,353.5,Freitag,December
Friday,12,11,403.5,Freitag,December
Friday,12,12,393.75,Freitag,December
Friday,12,13,430.5,Freitag,December
Friday,12,14,438.75,Freitag,December
Friday,12,15,454.0,Freitag,December
Friday,12,16,487.75,Freitag,December
Friday,12,17,430.25,Freitag,December
Friday,12,18,374.0,Freitag,December
Friday,12,19,279.0,Freitag,December
Friday,12,20,206.75,Freitag,December
Friday,12,21,173.75,Freitag,December
Friday,12,22,166.0,Freitag,December
Friday,12,23,131.75,Freitag,December
Monday,1,0,24.5,Montag,January
Monday,1,1,14.0,Montag,January
Monday,1,2,10.5,Montag,January
Monday,1,3,12.0,Montag,January
Monday,1,4,26.0,Montag,January
Monday,1,5,102.5,Montag,January
Monday,1,6,257.0,Montag,January
Monday,1,7,397.5,Montag,January
Monday,1,8,369.0,Montag,January
Monday,1,9,315.5,Montag,January
Monday,1,10,312.5,Montag,January
Monday,1,11,342.0,Montag,January
Monday,1,12,328.0,Montag,January
Monday,1,13,357.5,Montag,January
Monday,1,14,414.5,Montag,January
Monday,1,15,450.5,Montag,January
Monday,1,16,609.0,Montag,January
Monday,1,17,552.0,Montag,January
Monday,1,18,431.0,Montag,January
Monday,1,19,281.5,Montag,January
Monday,1,20,232.0,Montag,January
Monday,1,21,171.0,Montag,January
Monday,1,22,121.5,Montag,January
Monday,1,23,63.5,Montag,January
Monday,2,0,24.0,Montag,February
Monday,2,1,17.0,Montag,February
Monday,2,2,8.75,Montag,February
Monday,2,3,14.5,Montag,February
Monday,2,4,27.0,Montag,February
Monday,2,5,97.0,Montag,February
Monday,2,6,250.25,Montag,February
Monday,2,7,365.25,Montag,February
Monday,2,8,324.0,Montag,February
Monday,2,9,304.0,Montag,February
Monday,2,10,311.5,Montag,February
Monday,2,11,345.25,Montag,February
Monday,2,12,309.25,Montag,February
Monday,2,13,344.0,Montag,February
Monday,2,14,352.75,Montag,February
Monday,2,15,410.25,Montag,February
Monday,2,16,578.25,Montag,February
Monday,2,17,551.75,Montag,February
Monday,2,18,394.0,Montag,February
Monday,2,19,270.5,Montag,February
Monday,2,20,206.0,Montag,February
Monday,2,21,159.5,Montag,February
Monday,2,22,115.25,Montag,February
Monday,2,23,58.5,Montag,February
Monday,3,0,23.0,Montag,March
Monday,3,1,14.75,Montag,March
Monday,3,2,10.0,Montag,March
Monday,3,3,15.0,Montag,March
Monday,3,4,26.25,Montag,March
Monday,3,5,105.5,Montag,March
Monday,3,6,263.5,Montag,March
Monday,3,7,382.0,Montag,March
Monday,3,8,367.75,Montag,March
Monday,3,9,323.0,Montag,March
Monday,3,10,325.0,Montag,March
Monday,3,11,348.25,Montag,March
Monday,3,12,326.75,Montag,March
Monday,3,13,348.5,Montag,March
Monday,3,14,365.5,Montag,March
Monday,3,15,463.0,Montag,March
Monday,3,16,584.25,Montag,March
Monday,3,17,614.25,Montag,March
Monday,3,18,440.0,Montag,March
Monday,3,19,291.5,Montag,March
Monday,3,20,226.0,Montag,March
Monday,3,21,200.25,Montag,March
Monday,3,22,124.0,Montag,March
Monday,3,23,60.0,Montag,March
Monday,4,0,23.75,Montag,April
Monday,4,1,14.75,Montag,April
Monday,4,2,11.25,Montag,April
Monday,4,3,11.25,Montag,April
Monday,4,4,27.75,Montag,April
Monday,4,5,79.75,Montag,April
Monday,4,6,206.0,Montag,April
Monday,4,7,306.5,Montag,April
Monday,4,8,267.25,Montag,April
Monday,4,9,258.5,Montag,April
Monday,4,10,257.25,Montag,April
Monday,4,11,308.0,Montag,April
Monday,4,12,288.75,Montag,April
Monday,4,13,292.75,Montag,April
Monday,4,14,285.25,Montag,April
Monday,4,15,367.75,Montag,April
Monday,4,16,441.75,Montag,April
Monday,4,17,455.75,Montag,April
Monday,4,18,303.75,Montag,April
Monday,4,19,219.75,Montag,April
Monday,4,20,156.5,Montag,April
Monday,4,21,132.5,Montag,April
Monday,4,22,94.0,Montag,April
Monday,4,23,58.25,Montag,April
Monday,5,0,27.333333333333332,Montag,May
Monday,5,1,18.0,Montag,May
Monday,5,2,14.0,Montag,May
Monday,5,3,10.333333333333334,Montag,May
Monday,5,4,26.333333333333332,Montag,May
Monday,5,5,110.66666666666667,Montag,May
Monday,5,6,249.0,Montag,May
Monday,5,7,363.3333333333333,Montag,May
Monday,5,8,346.6666666666667,Montag,May
Monday,5,9,305.6666666666667,Montag,May
Monday,5,10,319.6666666666667,Montag,May
Monday,5,11,349.0,Montag,May
Monday,5,12,323.0,Montag,May
Monday,5,13,338.6666666666667,Montag,May
Monday,5,14,372.6666666666667,Montag,May
Monday,5,15,435.3333333333333,Montag,May
Monday,5,16,562.3333333333334,Montag,May
Monday,5,17,588.6666666666666,Montag,May
Monday,5,18,427.0,Montag,May
Monday,5,19,291.6666666666667,Montag,May
Monday,5,20,215.33333333333334,Montag,May
Monday,5,21,181.33333333333334,Montag,May
Monday,5,22,112.66666666666667,Montag,May
Monday,5,23,68.66666666666667,Montag,May
Monday,6,0,34.75,Montag,June
Monday,6,1,17.0,Montag,June
Monday,6,2,9.75,Montag,June
Monday,6,3,17.75,Montag,June
Monday,6,4,33.75,Montag,June
Monday,6,5,106.75,Montag,June
Monday,6,6,252.25,Montag,June
Monday,6,7,371.75,Montag,June
Monday,6,8,351.25,Montag,June
Monday,6,9,321.5,Montag,June
Monday,6,10,336.0,Montag,June
Monday,6,11,376.5,Montag,June
Monday,6,12,325.75,Montag,June
Monday,6,13,347.5,Montag,June
Monday,6,14,379.5,Montag,June
Monday,6,15,451.75,Montag,June
Monday,6,16,557.75,Montag,June
Monday,6,17,569.25,Montag,June
Monday,6,18,422.25,Montag,June
Monday,6,19,283.5,Montag,June
Monday,6,20,223.75,Montag,June
Monday,6,21,173.0,Montag,June
Monday,6,22,122.5,Montag,June
Monday,6,23,79.75,Montag,June
Monday,7,0,42.75,Montag,July
Monday,7,1,23.5,Montag,July
Monday,7,2,15.75,Montag,July
Monday,7,3,15.25,Montag,July
Monday,7,4,28.5,Montag,July
Monday,7,5,100.25,Montag,July
Monday,7,6,248.5,Montag,July
Monday,7,7,350.75,Montag,July
Monday,7,8,318.0,Montag,July
Monday,7,9,296.25,Montag,July
Monday,7,10,314.5,Montag,July
Monday,7,11,338.5,Montag,July
Monday,7,12,294.5,Montag,July
Monday,7,13,327.5,Montag,July
Monday,7,14,356.75,Montag,July
Monday,7,15,392.25,Montag,July
Monday,7,16,480.5,Montag,July
Monday,7,17,508.75,Montag,July
Monday,7,18,389.5,Montag,July
Monday,7,19,242.25,Montag,July
Monday,7,20,214.0,Montag,July
Monday,7,21,165.75,Montag,July
Monday,7,22,113.5,Montag,July
Monday,7,23,70.5,Montag,July
Monday,8,0,32.5,Montag,August
Monday,8,1,17.0,Montag,August
Monday,8,2,14.75,Montag,August
Monday,8,3,12.25,Montag,August
Monday,8,4,29.25,Montag,August
Monday,8,5,82.25,Montag,August
Monday,8,6,238.0,Montag,August
Monday,8,7,338.5,Montag,August
Monday,8,8,327.25,Montag,August
Monday,8,9,300.5,Montag,August
Monday,8,10,301.75,Montag,August
Monday,8,11,329.75,Montag,August
Monday,8,12,294.75,Montag,August
Monday,8,13,303.25,Montag,August
Monday,8,14,334.5,Montag,August
Monday,8,15,420.5,Montag,August
Monday,8,16,505.25,Montag,August
Monday,8,17,504.5,Montag,August
Monday,8,18,395.5,Montag,August
Monday,8,19,248.5,Montag,August
Monday,8,20,229.25,Montag,August
Monday,8,21,183.5,Montag,August
Monday,8,22,118.25,Montag,August
Monday,8,23,64.0,Montag,August
Monday,9,0,30.0,Montag,September
Monday,9,1,18.6,Montag,September
Monday,9,2,11.2,Montag,September
Monday,9,3,13.6,Montag,September
Monday,9,4,32.0,Montag,September
Monday,9,5,104.4,Montag,September
Monday,9,6,244.2,Montag,September
Monday,9,7,362.8,Montag,September
Monday,9,8,359.2,Montag,September
Monday,9,9,318.2,Montag,September
Monday,9,10,308.4,Montag,September
Monday,9,11,368.4,Montag,September
Monday,9,12,328.2,Montag,September
Monday,9,13,353.2,Montag,September
Monday,9,14,357.6,Montag,September
Monday,9,15,421.8,Montag,September
Monday,9,16,524.8,Montag,September
Monday,9,17,543.0,Montag,September
Monday,9,18,408.8,Montag,September
Monday,9,19,291.6,Montag,September
Monday,9,20,216.8,Montag,September
Monday,9,21,173.4,Montag,September
Monday,9,22,121.6,Montag,September
Monday,9,23,67.0,Montag,September
Monday,10,0,26.0,Montag,October
Monday,10,1,13.75,Montag,October
Monday,10,2,11.0,Montag,October
Monday,10,3,12.5,Montag,October
Monday,10,4,33.25,Montag,October
Monday,10,5,99.75,Montag,October
Monday,10,6,251.5,Montag,October
Monday,10,7,374.5,Montag,October
Monday,10,8,319.75,Montag,October
Monday,10,9,312.75,Montag,October
Monday,10,10,329.25,Montag,October
Monday,10,11,348.75,Montag,October
Monday,10,12,302.75,Montag,October
Monday,10,13,347.75,Montag,October
Monday,10,14,373.25,Montag,October
Monday,10,15,419.25,Montag,October
Monday,10,16,521.25,Montag,October
Monday,10,17,548.5,Montag,October
Monday,10,18,421.75,Montag,October
Monday,10,19,266.5,Montag,October
Monday,10,20,215.25,Montag,October
Monday,10,21,164.0,Montag,October
Monday,10,22,120.5,Montag,October
Monday,10,23,60.25,Montag,October
Monday,11,0,24.25,Montag,November
Monday,11,1,13.75,Montag,November
Monday,11,2,8.5,Montag,November
Monday,11,3,12.0,Montag,November
Monday,11,4,26.25,Montag,November
Monday,11,5,97.25,Montag,November
Monday,11,6,262.5,Montag,November
Monday,11,7,382.25,Montag,November
Monday,11,8,364.0,Montag,November
Monday,11,9,329.5,Montag,November
Monday,11,10,322.25,Montag,November
Monday,11,11,365.25,Montag,November
Monday,11,12,324.0,Montag,November
Monday,11,13,358.25,Montag,November
Monday,11,14,401.75,Montag,November
Monday,11,15,445.25,Montag,November
Monday,11,16,551.5,Montag,November
Monday,11,17,556.75,Montag,November
Monday,11,18,407.5,Montag,November
Monday,11,19,285.0,Montag,November
Monday,11,20,227.0,Montag,November
Monday,11,21,176.75,Montag,November
Monday,11,22,117.5,Montag,November
Monday,11,23,63.0,Montag,November
Monday,12,0,34.2,Montag,December
Monday,12,1,19.6,Montag,December
Monday,12,2,12.6,Montag,December
Monday,12,3,13.8,Montag,December
Monday,12,4,26.2,Montag,December
Monday,12,5,75.8,Montag,December
Monday,12,6,197.0,Montag,December
Monday,12,7,284.4,Montag,December
Monday,12,8,300.6,Montag,December
Monday,12,9,294.6,Montag,December
Monday,12,10,330.8,Montag,December
Monday,12,11,350.4,Montag,December
Monday,12,12,338.8,Montag,December
Monday,12,13,355.0,Montag,December
Monday,12,14,398.2,Montag,December
Monday,12,15,435.2,Montag,December
Monday,12,16,495.0,Montag,December
Monday,12,17,475.2,Montag,December
Monday,12,18,350.6,Montag,December
Monday,12,19,259.6,Montag,December
Monday,12,20,207.2,Montag,December
Monday,12,21,169.6,Montag,December
Monday,12,22,118.2,Montag,December
Monday,12,23,82.8,Montag,December
Thursday,1,0,39.5,Donnerstag,January
Thursday,1,1,19.666666666666668,Donnerstag,January
Thursday,1,2,12.333333333333334,Donnerstag,January
Thursday,1,3,16.0,Donnerstag,January
Thursday,1,4,25.666666666666668,Donnerstag,January
Thursday,1,5,85.0,Donnerstag,January
Thursday,1,6,206.66666666666666,Donnerstag,January
Thursday,1,7,330.0,Donnerstag,January
Thursday,1,8,334.3333333333333,Donnerstag,January
Thursday,1,9,286.3333333333333,Donnerstag,January
Thursday,1,10,311.0,Donnerstag,January
Thursday,1,11,358.3333333333333,Donnerstag,January
Thursday,1,12,323.0,Donnerstag,January
Thursday,1,13,347.3333333333333,Donnerstag,January
Thursday,1,14,359.6666666666667,Donnerstag,January
Thursday,1,15,404.6666666666667,Donnerstag,January
Thursday,1,16,546.3333333333334,Donnerstag,January
Thursday,1,17,512.6666666666666,Donnerstag,January
Thursday,1,18,407.6666666666667,Donnerstag,January
Thursday,1,19,275.6666666666667,Donnerstag,January
