weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,39.0,Freitag,January
Friday,1,1,20.333333333333332,Freitag,January
Friday,1,2,11.666666666666666,Freitag,January
Friday,1,3,12.666666666666666,Freitag,January
Friday,1,4,27.333333333333332,Freitag,January
Friday,1,5,99.0,Freitag,January
Friday,1,6,317.3333333333333,Freitag,January
Friday,1,7,389.0,Freitag,January
Friday,1,8,382.0,Freitag,January
Friday,1,9,297.3333333333333,Freitag,January
Friday,1,10,300.3333333333333,Freitag,January
Friday,1,11,310.0,Freitag,January
Friday,1,12,311.3333333333333,Freitag,January
Friday,1,13,326.6666666666667,Freitag,January
Friday,1,14,314.3333333333333,Freitag,January
Friday,1,15,323.3333333333333,Freitag,January
Friday,1,16,421.0,Freitag,January
Friday,1,17,434.0,Freitag,January
Friday,1,18,368.0,Freitag,January
Friday,1,19,257.0,Freitag,January
Friday,1,20,191.0,Freitag,January
Friday,1,21,146.33333333333334,Freitag,January
Friday,1,22,129.66666666666666,Freitag,January
Friday,1,23,94.0,Freitag,January
Friday,2,0,38.25,Freitag,February
Friday,2,1,22.5,Freitag,February
Friday,2,2,12.25,Freitag,February
Friday,2,3,12.0,Freitag,February
Friday,2,4,26.5,Freitag,February
Friday,2,5,100.25,Freitag,February
Friday,2,6,389.0,Freitag,February
Friday,2,7,449.75,Freitag,February
Friday,2,8,385.25,Freitag,February
Friday,2,9,321.75,Freitag,February
Friday,2,10,315.25,Freitag,February
Friday,2,11,316.25,Freitag,February
Friday,2,12,339.25,Freitag,February
Friday,2,13,355.5,Freitag,February
Friday,2,14,329.5,Freitag,February
Friday,2,15,337.5,Freitag,February
Friday,2,16,434.5,Freitag,February
Friday,2,17,430.0,Freitag,February
Friday,2,18,363.25,Freitag,February
Friday,2,19,289.25,Freitag,February
Friday,2,20,191.25,Freitag,February
Friday,2,21,159.5,Freitag,February
Friday,2,22,137.0,Freitag,February
Friday,2,23,97.0,Freitag,February
Friday,3,0,35.25,Freitag,March
Friday,3,1,21.75,Freitag,March
Friday,3,2,13.5,Freitag,March
Friday,3,3,17.5,Freitag,March
Friday,3,4,29.75,Freitag,March
Friday,3,5,113.0,Freitag,March
Friday,3,6,380.25,Freitag,March
Friday,3,7,469.75,Freitag,March
Friday,3,8,414.25,Freitag,March
Friday,3,9,352.5,Freitag,March
Friday,3,10,316.0,Freitag,March
Friday,3,11,341.75,Freitag,March
Friday,3,12,353.75,Freitag,March
Friday,3,13,371.0,Freitag,March
Friday,3,14,353.75,Freitag,March
Friday,3,15,356.0,Freitag,March
Friday,3,16,432.75,Freitag,March
Friday,3,17,471.25,Freitag,March
Friday,3,18,385.5,Freitag,March
Friday,3,19,326.25,Freitag,March
Friday,3,20,238.25,Freitag,March
Friday,3,21,178.75,Freitag,March
Friday,3,22,140.0,Freitag,March
Friday,3,23,110.0,Freitag,March
Friday,4,0,35.0,Freitag,April
Friday,4,1,22.25,Freitag,April
Friday,4,2,12.25,Freitag,April
Friday,4,3,14.5,Freitag,April
Friday,4,4,26.5,Freitag,April
Friday,4,5,107.75,Freitag,April
Friday,4,6,362.75,Freitag,April
Friday,4,7,441.0,Freitag,April
Friday,4,8,389.0,Freitag,April
Friday,4,9,306.75,Freitag,April
Friday,4,10,312.25,Freitag,April
Friday,4,11,322.0,Freitag,April
Friday,4,12,302.25,Freitag,April
Friday,4,13,354.25,Freitag,April
Friday,4,14,342.5,Freitag,April
Friday,4,15,331.75,Freitag,April
Friday,4,16,392.75,Freitag,April
Friday,4,17,402.5,Freitag,April
Friday,4,18,333.75,Freitag,April
Friday,4,19,278.5,Freitag,April
Friday,4,20,188.5,Freitag,April
Friday,4,21,204.25,Freitag,April
Friday,4,22,144.0,Freitag,April
Friday,4,23,93.25,Freitag,April
Friday,5,0,42.2,Freitag,May
Friday,5,1,23.6,Freitag,May
Friday,5,2,14.0,Freitag,May
Friday,5,3,11.6,Freitag,May
Friday,5,4,26.4,Freitag,May
Friday,5,5,97.6,Freitag,May
Friday,5,6,338.8,Freitag,May
Friday,5,7,379.8,Freitag,May
Friday,5,8,354.2,Freitag,May
Friday,5,9,309.6,Freitag,May
Friday,5,10,286.0,Freitag,May
Friday,5,11,311.0,Freitag,May
Friday,5,12,303.4,Freitag,May
Friday,5,13,338.6,Freitag,May
Friday,5,14,339.0,Freitag,May
Friday,5,15,329.8,Freitag,May
Friday,5,16,377.4,Freitag,May
Friday,5,17,402.6,Freitag,May
Friday,5,18,338.2,Freitag,May
Friday,5,19,261.2,Freitag,May
Friday,5,20,204.4,Freitag,May
Friday,5,21,185.6,Freitag,May
Friday,5,22,130.0,Freitag,May
Friday,5,23,102.4,Freitag,May
Friday,6,0,49.0,Freitag,June
Friday,6,1,29.0,Freitag,June
Friday,6,2,22.25,Freitag,June
Friday,6,3,15.0,Freitag,June
Friday,6,4,31.25,Freitag,June
Friday,6,5,110.5,Freitag,June
Friday,6,6,379.0,Freitag,June
Friday,6,7,456.25,Freitag,June
Friday,6,8,406.5,Freitag,June
Friday,6,9,339.25,Freitag,June
Friday,6,10,295.5,Freitag,June
Friday,6,11,325.25,Freitag,June
Friday,6,12,317.5,Freitag,June
Friday,6,13,373.25,Freitag,June
Friday,6,14,340.75,Freitag,June
Friday,6,15,341.0,Freitag,June
Friday,6,16,400.5,Freitag,June
Friday,6,17,427.0,Freitag,June
Friday,6,18,370.25,Freitag,June
Friday,6,19,277.75,Freitag,June
Friday,6,20,215.25,Freitag,June
Friday,6,21,180.75,Freitag,June
Friday,6,22,146.5,Freitag,June
Friday,6,23,110.25,Freitag,June
Friday,7,0,42.0,Freitag,July
Friday,7,1,32.666666666666664,Freitag,July
Friday,7,2,16.666666666666668,Freitag,July
Friday,7,3,18.333333333333332,Freitag,July
Friday,7,4,31.666666666666668,Freitag,July
Friday,7,5,106.0,Freitag,July
Friday,7,6,342.0,Freitag,July
Friday,7,7,410.0,Freitag,July
Friday,7,8,359.0,Freitag,July
Friday,7,9,305.3333333333333,Freitag,July
Friday,7,10,305.3333333333333,Freitag,July
Friday,7,11,317.3333333333333,Freitag,July
Friday,7,12,292.3333333333333,Freitag,July
Friday,7,13,324.0,Freitag,July
Friday,7,14,312.0,Freitag,July
Friday,7,15,300.6666666666667,Freitag,July
Friday,7,16,366.0,Freitag,July
Friday,7,17,410.0,Freitag,July
Friday,7,18,302.0,Freitag,July
Friday,7,19,222.66666666666666,Freitag,July
Friday,7,20,206.33333333333334,Freitag,July
Friday,7,21,179.66666666666666,Freitag,July
Friday,7,22,144.33333333333334,Freitag,July
Friday,7,23,103.0,Freitag,July
Friday,8,0,42.0,Freitag,August
Friday,8,1,31.2,Freitag,August
Friday,8,2,18.0,Freitag,August
Friday,8,3,14.6,Freitag,August
Friday,8,4,32.4,Freitag,August
Friday,8,5,99.2,Freitag,August
Friday,8,6,315.4,Freitag,August
Friday,8,7,350.6,Freitag,August
Friday,8,8,336.6,Freitag,August
Friday,8,9,319.2,Freitag,August
Friday,8,10,295.8,Freitag,August
Friday,8,11,295.6,Freitag,August
Friday,8,12,271.8,Freitag,August
Friday,8,13,318.0,Freitag,August
Friday,8,14,314.6,Freitag,August
Friday,8,15,291.4,Freitag,August
Friday,8,16,367.0,Freitag,August
Friday,8,17,391.2,Freitag,August
Friday,8,18,324.2,Freitag,August
Friday,8,19,232.0,Freitag,August
Friday,8,20,191.2,Freitag,August
Friday,8,21,175.8,Freitag,August
Friday,8,22,143.6,Freitag,August
Friday,8,23,101.4,Freitag,August
Friday,9,0,33.5,Freitag,September
Friday,9,1,25.0,Freitag,September
Friday,9,2,17.0,Freitag,September
Friday,9,3,15.0,Freitag,September
Friday,9,4,35.25,Freitag,September
Friday,9,5,103.0,Freitag,September
Friday,9,6,361.0,Freitag,September
Friday,9,7,433.5,Freitag,September
Friday,9,8,396.5,Freitag,September
Friday,9,9,313.75,Freitag,September
Friday,9,10,294.75,Freitag,September
Friday,9,11,299.25,Freitag,September
Friday,9,12,290.5,Freitag,September
Friday,9,13,339.5,Freitag,September
Friday,9,14,315.75,Freitag,September
Friday,9,15,321.5,Freitag,September
Friday,9,16,397.25,Freitag,September
Friday,9,17,406.5,Freitag,September
Friday,9,18,389.75,Freitag,September
Friday,9,19,301.0,Freitag,September
Friday,9,20,214.25,Freitag,September
Friday,9,21,177.0,Freitag,September
Friday,9,22,132.75,Freitag,September
Friday,9,23,98.25,Freitag,September
Friday,10,0,36.25,Freitag,October
Friday,10,1,25.0,Freitag,October
Friday,10,2,16.5,Freitag,October
Friday,10,3,11.5,Freitag,October
Friday,10,4,28.25,Freitag,October
Friday,10,5,102.0,Freitag,October
Friday,10,6,364.0,Freitag,October
Friday,10,7,400.25,Freitag,October
Friday,10,8,353.5,Freitag,October
Friday,10,9,323.0,Freitag,October
Friday,10,10,281.0,Freitag,October
Friday,10,11,300.5,Freitag,October
Friday,10,12,291.0,Freitag,October
Friday,10,13,324.25,Freitag,October
Friday,10,14,322.5,Freitag,October
Friday,10,15,325.5,Freitag,October
Friday,10,16,367.0,Freitag,October
Friday,10,17,372.5,Freitag,October
Friday,10,18,355.0,Freitag,October
Friday,10,19,264.25,Freitag,October
Friday,10,20,191.25,Freitag,October
Friday,10,21,165.5,Freitag,October
Friday,10,22,124.0,Freitag,October
Friday,10,23,99.0,Freitag,October
Friday,11,0,35.0,Freitag,November
Friday,11,1,29.4,Freitag,November
Friday,11,2,14.6,Freitag,November
Friday,11,3,17.8,Freitag,November
Friday,11,4,35.6,Freitag,November
Friday,11,5,103.0,Freitag,November
Friday,11,6,371.8,Freitag,November
Friday,11,7,425.8,Freitag,November
Friday,11,8,387.2,Freitag,November
Friday,11,9,305.0,Freitag,November
Friday,11,10,304.0,Freitag,November
Friday,11,11,327.2,Freitag,November
Friday,11,12,312.2,Freitag,November
Friday,11,13,327.6,Freitag,November
Friday,11,14,327.2,Freitag,November
Friday,11,15,321.6,Freitag,November
Friday,11,16,390.2,Freitag,November
Friday,11,17,394.2,Freitag,November
Friday,11,18,350.0,Freitag,November
Friday,11,19,284.2,Freitag,November
Friday,11,20,189.8,Freitag,November
Friday,11,21,145.8,Freitag,November
Friday,11,22,136.8,Freitag,November
Friday,11,23,113.6,Freitag,November
Friday,12,0,36.25,Freitag,December
Friday,12,1,34.0,Freitag,December
Friday,12,2,20.5,Freitag,December
Friday,12,3,24.75,Freitag,December
Friday,12,4,32.5,Freitag,December
Friday,12,5,97.25,Freitag,December
Friday,12,6,309.25,Freitag,December
Friday,12,7,366.75,Freitag,December
Friday,12,8,345.0,Freitag,December
Friday,12,9,303.0,Freitag,December
Friday,12,10,295.5,Freitag,December
Friday,12,11,339.5,Freitag,December
Friday,12,12,312.5,Freitag,December
Friday,12,13,343.75,Freitag,December
Friday,12,14,316.0,Freitag,December
Friday,12,15,343.0,Freitag,December
Friday,12,16,344.0,Freitag,December
Friday,12,17,375.75,Freitag,December
Friday,12,18,312.75,Freitag,December
Friday,12,19,237.5,Freitag,December
Friday,12,20,180.5,Freitag,December
Friday,12,21,155.0,Freitag,December
Friday,12,22,131.0,Freitag,December
Friday,12,23,99.5,Freitag,December
Monday,1,0,29.0,Montag,January
Monday,1,1,13.0,Montag,January
Monday,1,2,8.5,Montag,January
Monday,1,3,14.5,Montag,January
Monday,1,4,23.5,Montag,January
Monday,1,5,107.0,Montag,January
Monday,1,6,437.5,Montag,January
Monday,1,7,534.5,Montag,January
Monday,1,8,458.0,Montag,January
Monday,1,9,336.5,Montag,January
Monday,1,10,287.5,Montag,January
Monday,1,11,286.5,Montag,January
Monday,1,12,282.5,Montag,January
Monday,1,13,325.0,Montag,January
Monday,1,14,301.5,Montag,January
Monday,1,15,335.0,Montag,January
Monday,1,16,400.5,Montag,January
Monday,1,17,444.0,Montag,January
