weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,168.5,Freitag,January
Friday,1,1,153.25,Freitag,January
Friday,1,2,99.0,Freitag,January
Friday,1,3,58.0,Freitag,January
Friday,1,4,79.0,Freitag,January
Friday,1,5,120.5,Freitag,January
Friday,1,6,258.5,Freitag,January
Friday,1,7,320.5,Freitag,January
Friday,1,8,355.75,Freitag,January
Friday,1,9,328.25,Freitag,January
Friday,1,10,386.0,Freitag,January
Friday,1,11,353.5,Freitag,January
Friday,1,12,336.5,Freitag,January
Friday,1,13,381.5,Freitag,January
Friday,1,14,394.25,Freitag,January
Friday,1,15,358.75,Freitag,January
Friday,1,16,362.5,Freitag,January
Friday,1,17,349.75,Freitag,January
Friday,1,18,356.5,Freitag,January
Friday,1,19,369.0,Freitag,January
Friday,1,20,351.75,Freitag,January
Friday,1,21,345.5,Freitag,January
Friday,1,22,360.0,Freitag,January
Friday,1,23,339.0,Freitag,January
Friday,2,0,171.5,Freitag,February
Friday,2,1,150.75,Freitag,February
Friday,2,2,98.25,Freitag,February
Friday,2,3,68.0,Freitag,February
Friday,2,4,80.75,Freitag,February
Friday,2,5,127.5,Freitag,February
Friday,2,6,280.75,Freitag,February
Friday,2,7,348.5,Freitag,February
Friday,2,8,364.0,Freitag,February
Friday,2,9,370.5,Freitag,February
Friday,2,10,374.0,Freitag,February
Friday,2,11,385.0,Freitag,February
Friday,2,12,381.5,Freitag,February
Friday,2,13,399.0,Freitag,February
Friday,2,14,392.25,Freitag,February
Friday,2,15,373.5,Freitag,February
Friday,2,16,383.5,Freitag,February
Friday,2,17,375.0,Freitag,February
Friday,2,18,381.0,Freitag,February
Friday,2,19,399.25,Freitag,February
Friday,2,20,372.0,Freitag,February
Friday,2,21,379.25,Freitag,February
Friday,2,22,392.75,Freitag,February
Friday,2,23,370.25,Freitag,February
Friday,3,0,190.25,Freitag,March
Friday,3,1,163.25,Freitag,March
Friday,3,2,118.5,Freitag,March
Friday,3,3,75.5,Freitag,March
Friday,3,4,89.25,Freitag,March
Friday,3,5,131.0,Freitag,March
Friday,3,6,300.5,Freitag,March
Friday,3,7,334.5,Freitag,March
Friday,3,8,399.75,Freitag,March
Friday,3,9,403.0,Freitag,March
Friday,3,10,394.75,Freitag,March
Friday,3,11,398.75,Freitag,March
Friday,3,12,377.5,Freitag,March
Friday,3,13,411.75,Freitag,March
Friday,3,14,411.75,Freitag,March
Friday,3,15,388.25,Freitag,March
Friday,3,16,392.75,Freitag,March
Friday,3,17,380.75,Freitag,March
Friday,3,18,354.25,Freitag,March
Friday,3,19,351.75,Freitag,March
Friday,3,20,421.75,Freitag,March
Friday,3,21,418.5,Freitag,March
Friday,3,22,405.25,Freitag,March
Friday,3,23,382.5,Freitag,March
Friday,4,0,192.0,Freitag,April
Friday,4,1,159.0,Freitag,April
Friday,4,2,98.5,Freitag,April
Friday,4,3,72.25,Freitag,April
Friday,4,4,83.0,Freitag,April
Friday,4,5,138.75,Freitag,April
Friday,4,6,307.0,Freitag,April
Friday,4,7,350.0,Freitag,April
Friday,4,8,391.5,Freitag,April
Friday,4,9,417.75,Freitag,April
Friday,4,10,399.0,Freitag,April
Friday,4,11,405.25,Freitag,April
Friday,4,12,369.25,Freitag,April
Friday,4,13,378.0,Freitag,April
Friday,4,14,402.5,Freitag,April
Friday,4,15,379.75,Freitag,April
Friday,4,16,389.5,Freitag,April
Friday,4,17,400.25,Freitag,April
Friday,4,18,393.5,Freitag,April
Friday,4,19,411.75,Freitag,April
Friday,4,20,379.0,Freitag,April
Friday,4,21,388.5,Freitag,April
Friday,4,22,408.25,Freitag,April
Friday,4,23,382.0,Freitag,April
Friday,5,0,173.8,Freitag,May
Friday,5,1,164.2,Freitag,May
Friday,5,2,96.4,Freitag,May
Friday,5,3,72.4,Freitag,May
Friday,5,4,86.8,Freitag,May
Friday,5,5,131.6,Freitag,May
Friday,5,6,289.8,Freitag,May
Friday,5,7,343.2,Freitag,May
Friday,5,8,385.8,Freitag,May
Friday,5,9,384.0,Freitag,May
Friday,5,10,395.8,Freitag,May
Friday,5,11,380.6,Freitag,May
Friday,5,12,386.4,Freitag,May
Friday,5,13,398.8,Freitag,May
Friday,5,14,385.2,Freitag,May
Friday,5,15,378.8,Freitag,May
Friday,5,16,352.2,Freitag,May
Friday,5,17,340.8,Freitag,May
Friday,5,18,377.4,Freitag,May
Friday,5,19,382.2,Freitag,May
Friday,5,20,378.4,Freitag,May
Friday,5,21,370.0,Freitag,May
Friday,5,22,401.2,Freitag,May
Friday,5,23,354.0,Freitag,May
Friday,6,0,190.0,Freitag,June
Friday,6,1,173.0,Freitag,June
Friday,6,2,104.0,Freitag,June
Friday,6,3,72.75,Freitag,June
Friday,6,4,78.25,Freitag,June
Friday,6,5,139.25,Freitag,June
Friday,6,6,285.5,Freitag,June
Friday,6,7,354.25,Freitag,June
Friday,6,8,408.5,Freitag,June
Friday,6,9,430.25,Freitag,June
Friday,6,10,414.75,Freitag,June
Friday,6,11,403.5,Freitag,June
Friday,6,12,400.5,Freitag,June
Friday,6,13,395.25,Freitag,June
Friday,6,14,431.0,Freitag,June
Friday,6,15,375.0,Freitag,June
Friday,6,16,357.25,Freitag,June
Friday,6,17,362.75,Freitag,June
Friday,6,18,406.0,Freitag,June
Friday,6,19,398.25,Freitag,June
Friday,6,20,343.75,Freitag,June
Friday,6,21,340.0,Freitag,June
Friday,6,22,386.0,Freitag,June
Friday,6,23,398.5,Freitag,June
Friday,7,0,191.33333333333334,Freitag,July
Friday,7,1,160.33333333333334,Freitag,July
Friday,7,2,123.0,Freitag,July
Friday,7,3,76.66666666666667,Freitag,July
Friday,7,4,91.66666666666667,Freitag,July
Friday,7,5,139.0,Freitag,July
Friday,7,6,280.0,Freitag,July
Friday,7,7,347.0,Freitag,July
Friday,7,8,402.6666666666667,Freitag,July
Friday,7,9,389.0,Freitag,July
Friday,7,10,389.3333333333333,Freitag,July
Friday,7,11,400.6666666666667,Freitag,July
Friday,7,12,382.0,Freitag,July
Friday,7,13,411.6666666666667,Freitag,July
Friday,7,14,410.0,Freitag,July
Friday,7,15,350.6666666666667,Freitag,July
Friday,7,16,368.6666666666667,Freitag,July
Friday,7,17,399.3333333333333,Freitag,July
Friday,7,18,383.0,Freitag,July
Friday,7,19,392.0,Freitag,July
Friday,7,20,341.6666666666667,Freitag,July
Friday,7,21,367.6666666666667,Freitag,July
Friday,7,22,369.3333333333333,Freitag,July
Friday,7,23,355.0,Freitag,July
Friday,8,0,203.2,Freitag,August
Friday,8,1,180.4,Freitag,August
Friday,8,2,114.6,Freitag,August
Friday,8,3,74.0,Freitag,August
Friday,8,4,83.0,Freitag,August
Friday,8,5,132.4,Freitag,August
Friday,8,6,254.6,Freitag,August
Friday,8,7,336.2,Freitag,August
Friday,8,8,379.0,Freitag,August
Friday,8,9,381.6,Freitag,August
Friday,8,10,408.0,Freitag,August
Friday,8,11,404.2,Freitag,August
Friday,8,12,396.6,Freitag,August
Friday,8,13,398.6,Freitag,August
Friday,8,14,403.6,Freitag,August
Friday,8,15,380.0,Freitag,August
Friday,8,16,378.6,Freitag,August
Friday,8,17,392.0,Freitag,August
Friday,8,18,394.4,Freitag,August
Friday,8,19,403.2,Freitag,August
Friday,8,20,391.6,Freitag,August
Friday,8,21,401.4,Freitag,August
Friday,8,22,395.0,Freitag,August
Friday,8,23,370.2,Freitag,August
Friday,9,0,177.0,Freitag,September
Friday,9,1,159.25,Freitag,September
Friday,9,2,101.5,Freitag,September
Friday,9,3,74.5,Freitag,September
Friday,9,4,96.5,Freitag,September
Friday,9,5,157.75,Freitag,September
Friday,9,6,335.5,Freitag,September
Friday,9,7,394.5,Freitag,September
Friday,9,8,424.0,Freitag,September
Friday,9,9,420.0,Freitag,September
Friday,9,10,429.75,Freitag,September
Friday,9,11,416.75,Freitag,September
Friday,9,12,412.5,Freitag,September
Friday,9,13,391.0,Freitag,September
Friday,9,14,394.25,Freitag,September
Friday,9,15,356.5,Freitag,September
Friday,9,16,312.5,Freitag,September
Friday,9,17,294.75,Freitag,September
Friday,9,18,334.5,Freitag,September
Friday,9,19,403.0,Freitag,September
Friday,9,20,384.5,Freitag,September
Friday,9,21,420.5,Freitag,September
Friday,9,22,430.0,Freitag,September
Friday,9,23,369.25,Freitag,September
Friday,10,0,195.5,Freitag,October
Friday,10,1,164.75,Freitag,October
Friday,10,2,113.5,Freitag,October
Friday,10,3,76.75,Freitag,October
Friday,10,4,92.25,Freitag,October
Friday,10,5,148.25,Freitag,October
Friday,10,6,318.25,Freitag,October
Friday,10,7,367.25,Freitag,October
Friday,10,8,417.25,Freitag,October
Friday,10,9,398.0,Freitag,October
Friday,10,10,419.75,Freitag,October
Friday,10,11,405.25,Freitag,October
Friday,10,12,397.0,Freitag,October
Friday,10,13,411.0,Freitag,October
Friday,10,14,394.5,Freitag,October
Friday,10,15,387.5,Freitag,October
Friday,10,16,368.5,Freitag,October
Friday,10,17,355.0,Freitag,October
Friday,10,18,391.0,Freitag,October
Friday,10,19,411.0,Freitag,October
Friday,10,20,410.25,Freitag,October
Friday,10,21,438.75,Freitag,October
Friday,10,22,418.75,Freitag,October
Friday,10,23,404.25,Freitag,October
Friday,11,0,187.2,Freitag,November
Friday,11,1,175.8,Freitag,November
Friday,11,2,135.4,Freitag,November
Friday,11,3,87.8,Freitag,November
Friday,11,4,87.0,Freitag,November
Friday,11,5,139.8,Freitag,November
Friday,11,6,281.8,Freitag,November
Friday,11,7,342.8,Freitag,November
Friday,11,8,399.4,Freitag,November
Friday,11,9,389.6,Freitag,November
Friday,11,10,395.2,Freitag,November
Friday,11,11,364.2,Freitag,November
Friday,11,12,367.8,Freitag,November
Friday,11,13,396.4,Freitag,November
Friday,11,14,381.2,Freitag,November
Friday,11,15,361.4,Freitag,November
Friday,11,16,324.0,Freitag,November
Friday,11,17,317.0,Freitag,November
Friday,11,18,359.4,Freitag,November
Friday,11,19,398.4,Freitag,November
Friday,11,20,394.8,Freitag,November
Friday,11,21,403.4,Freitag,November
Friday,11,22,406.6,Freitag,November
Friday,11,23,393.8,Freitag,November
Friday,12,0,200.0,Freitag,December
Friday,12,1,184.25,Freitag,December
Friday,12,2,161.5,Freitag,December
Friday,12,3,121.25,Freitag,December
Friday,12,4,100.25,Freitag,December
Friday,12,5,144.25,Freitag,December
Friday,12,6,249.75,Freitag,December
Friday,12,7,295.5,Freitag,December
Friday,12,8,344.5,Freitag,December
Friday,12,9,398.25,Freitag,December
Friday,12,10,414.75,Freitag,December
Friday,12,11,396.5,Freitag,December
Friday,12,12,380.0,Freitag,December
Friday,12,13,373.25,Freitag,December
Friday,12,14,338.0,Freitag,December
Friday,12,15,368.75,Freitag,December
Friday,12,16,329.0,Freitag,December
Friday,12,17,353.0,Freitag,December
Friday,12,18,378.75,Freitag,December
Friday,12,19,391.75,Freitag,December
Friday,12,20,378.25,Freitag,December
Friday,12,21,383.5,Freitag,December
Friday,12,22,389.5,Freitag,December
Friday,12,23,395.5,Freitag,December
Monday,1,0,71.66666666666667,Montag,January
Monday,1,1,66.66666666666667,Montag,January
Monday,1,2,45.0,Montag,January
Monday,1,3,39.666666666666664,Montag,January
Monday,1,4,58.0,Montag,January
Monday,1,5,132.0,Montag,January
Monday,1,6,330.6666666666667,Montag,January
Monday,1,7,339.6666666666667,Montag,January
Monday,1,8,406.6666666666667,Montag,January
Monday,1,9,378.6666666666667,Montag,January
Monday,1,10,375.3333333333333,Montag,January
Monday,1,11,364.6666666666667,Montag,January
Monday,1,12,338.3333333333333,Montag,January
Monday,1,13,346.0,Montag,January
Monday,1,14,355.3333333333333,Montag,January
Monday,1,15,344.0,Montag,January
Monday,1,16,343.25,Montag,January
Monday,1,17,350.75,Montag,January
Monday,1,18,333.75,Montag,January
Monday,1,19,306.5,Montag,January
Monday,1,20,238.5,Montag,January
Monday,1,21,210.0,Montag,January
Monday,1,22,173.25,Montag,January
Monday,1,23,114.25,Montag,January
Monday,2,0,82.66666666666667,Montag,February
Monday,2,1,71.33333333333333,Montag,February
Monday,2,2,45.333333333333336,Montag,February
Monday,2,3,41.666666666666664,Montag,February
Monday,2,4,58.0,Montag,February
Monday,2,5,130.33333333333334,Montag,February
Monday,2,6,310.0,Montag,February
Monday,2,7,391.0,Montag,February
Monday,2,8,405.0,Montag,February
Monday,2,9,352.3333333333333,Montag,February
Monday,2,10,373.5,Montag,February
Monday,2,11,365.0,Montag,February
Monday,2,12,332.5,Montag,February
Monday,2,13,363.75,Montag,February
Monday,2,14,368.5,Montag,February
Monday,2,15,369.75,Montag,February
Monday,2,16,382.75,Montag,February
Monday,2,17,375.75,Montag,February
Monday,2,18,354.25,Montag,February
Monday,2,19,318.5,Montag,February
Monday,2,20,246.0,Montag,February
Monday,2,21,212.5,Montag,February
Monday,2,22,164.0,Montag,February
Monday,2,23,125.5,Montag,February
Monday,3,0,83.5,Montag,March
Monday,3,1,75.5,Montag,March
Monday,3,2,41.0,Montag,March
Monday,3,3,36.75,Montag,March
Monday,3,4,52.5,Montag,March
Monday,3,5,137.75,Montag,March
Monday,3,6,325.0,Montag,March
Monday,3,7,400.0,Montag,March
Monday,3,8,401.5,Montag,March
Monday,3,9,366.75,Montag,March
Monday,3,10,384.75,Montag,March
Monday,3,11,380.75,Montag,March
Monday,3,12,354.5,Montag,March
Monday,3,13,384.0,Montag,March
Monday,3,14,382.75,Montag,March
Monday,3,15,373.75,Montag,March
Monday,3,16,354.5,Montag,March
Monday,3,17,359.5,Montag,March
Monday,3,18,366.75,Montag,March
Monday,3,19,315.5,Montag,March
Monday,3,20,247.25,Montag,March
Monday,3,21,231.5,Montag,March
Monday,3,22,174.25,Montag,March
Monday,3,23,131.25,Montag,March
Monday,4,0,109.25,Montag,April
Monday,4,1,93.0,Montag,April
Monday,4,2,53.75,Montag,April
Monday,4,3,39.25,Montag,April
Monday,4,4,59.5,Montag,April
Monday,4,5,140.75,Montag,April
Monday,4,6,319.5,Montag,April
Monday,4,7,369.75,Montag,April
Monday,4,8,381.5,Montag,April
Monday,4,9,357.5,Montag,April
Monday,4,10,360.0,Montag,April
Monday,4,11,340.0,Montag,April
Monday,4,12,349.0,Montag,April
Monday,4,13,310.0,Montag,April
Monday,4,14,305.25,Montag,April
Monday,4,15,319.75,Montag,April
Monday,4,16,324.75,Montag,April
Monday,4,17,319.75,Montag,April
Monday,4,18,298.0,Montag,April
Monday,4,19,288.75,Montag,April
Monday,4,20,258.25,Montag,April
Monday,4,21,248.5,Montag,April
Monday,4,22,197.5,Montag,April
Monday,4,23,150.25,Montag,April
Monday,5,0,91.33333333333333,Montag,May
Monday,5,1,85.66666666666667,Montag,May
