weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,81.75,Freitag,January
Friday,1,1,56.5,Freitag,January
Friday,1,2,37.0,Freitag,January
Friday,1,3,36.0,Freitag,January
Friday,1,4,53.0,Freitag,January
Friday,1,5,155.5,Freitag,January
Friday,1,6,388.5,Freitag,January
Friday,1,7,421.0,Freitag,January
Friday,1,8,405.25,Freitag,January
Friday,1,9,381.0,Freitag,January
Friday,1,10,401.5,Freitag,January
Friday,1,11,429.5,Freitag,January
Friday,1,12,417.0,Freitag,January
Friday,1,13,420.0,Freitag,January
Friday,1,14,439.5,Freitag,January
Friday,1,15,435.75,Freitag,January
Friday,1,16,450.75,Freitag,January
Friday,1,17,451.75,Freitag,January
Friday,1,18,434.5,Freitag,January
Friday,1,19,377.5,Freitag,January
Friday,1,20,324.0,Freitag,January
Friday,1,21,249.5,Freitag,January
Friday,1,22,253.25,Freitag,January
Friday,1,23,214.0,Freitag,January
Friday,2,0,82.25,Freitag,February
Friday,2,1,51.25,Freitag,February
Friday,2,2,35.25,Freitag,February
Friday,2,3,38.0,Freitag,February
Friday,2,4,60.75,Freitag,February
Friday,2,5,176.25,Freitag,February
Friday,2,6,416.5,Freitag,February
Friday,2,7,475.25,Freitag,February
Friday,2,8,446.5,Freitag,February
Friday,2,9,420.0,Freitag,February
Friday,2,10,447.25,Freitag,February
Friday,2,11,439.25,Freitag,February
Friday,2,12,448.0,Freitag,February
Friday,2,13,457.5,Freitag,February
Friday,2,14,475.25,Freitag,February
Friday,2,15,456.75,Freitag,February
Friday,2,16,436.5,Freitag,February
Friday,2,17,445.5,Freitag,February
Friday,2,18,437.25,Freitag,February
Friday,2,19,396.5,Freitag,February
Friday,2,20,329.5,Freitag,February
Friday,2,21,264.5,Freitag,February
Friday,2,22,255.75,Freitag,February
Friday,2,23,238.0,Freitag,February
Friday,3,0,86.75,Freitag,March
Friday,3,1,57.0,Freitag,March
Friday,3,2,37.25,Freitag,March
Friday,3,3,37.0,Freitag,March
Friday,3,4,61.25,Freitag,March
Friday,3,5,197.0,Freitag,March
Friday,3,6,452.5,Freitag,March
Friday,3,7,481.75,Freitag,March
Friday,3,8,437.75,Freitag,March
Friday,3,9,431.5,Freitag,March
Friday,3,10,481.0,Freitag,March
Friday,3,11,484.25,Freitag,March
Friday,3,12,458.25,Freitag,March
Friday,3,13,470.5,Freitag,March
Friday,3,14,481.0,Freitag,March
Friday,3,15,446.25,Freitag,March
Friday,3,16,442.0,Freitag,March
Friday,3,17,432.25,Freitag,March
Friday,3,18,441.5,Freitag,March
Friday,3,19,401.25,Freitag,March
Friday,3,20,341.25,Freitag,March
Friday,3,21,300.75,Freitag,March
Friday,3,22,295.25,Freitag,March
Friday,3,23,279.75,Freitag,March
Friday,4,0,81.25,Freitag,April
Friday,4,1,52.75,Freitag,April
Friday,4,2,41.0,Freitag,April
Friday,4,3,37.25,Freitag,April
Friday,4,4,55.0,Freitag,April
Friday,4,5,197.25,Freitag,April
Friday,4,6,472.75,Freitag,April
Friday,4,7,491.75,Freitag,April
Friday,4,8,454.25,Freitag,April
Friday,4,9,448.5,Freitag,April
Friday,4,10,469.25,Freitag,April
Friday,4,11,447.25,Freitag,April
Friday,4,12,456.25,Freitag,April
Friday,4,13,448.25,Freitag,April
Friday,4,14,462.25,Freitag,April
Friday,4,15,441.75,Freitag,April
Friday,4,16,426.5,Freitag,April
Friday,4,17,451.5,Freitag,April
Friday,4,18,440.0,Freitag,April
Friday,4,19,394.25,Freitag,April
Friday,4,20,336.5,Freitag,April
Friday,4,21,298.0,Freitag,April
Friday,4,22,284.5,Freitag,April
Friday,4,23,228.75,Freitag,April
Friday,5,0,91.2,Freitag,May
Friday,5,1,55.6,Freitag,May
Friday,5,2,35.4,Freitag,May
Friday,5,3,36.4,Freitag,May
Friday,5,4,58.2,Freitag,May
Friday,5,5,173.6,Freitag,May
Friday,5,6,429.2,Freitag,May
Friday,5,7,465.6,Freitag,May
Friday,5,8,427.2,Freitag,May
Friday,5,9,443.6,Freitag,May
Friday,5,10,467.6,Freitag,May
Friday,5,11,472.2,Freitag,May
Friday,5,12,452.2,Freitag,May
Friday,5,13,441.4,Freitag,May
Friday,5,14,430.2,Freitag,May
Friday,5,15,450.2,Freitag,May
Friday,5,16,444.8,Freitag,May
Friday,5,17,446.6,Freitag,May
Friday,5,18,413.2,Freitag,May
Friday,5,19,377.6,Freitag,May
Friday,5,20,333.0,Freitag,May
Friday,5,21,281.8,Freitag,May
Friday,5,22,291.2,Freitag,May
Friday,5,23,256.4,Freitag,May
Friday,6,0,115.75,Freitag,June
Friday,6,1,61.25,Freitag,June
Friday,6,2,36.25,Freitag,June
Friday,6,3,36.5,Freitag,June
Friday,6,4,62.0,Freitag,June
Friday,6,5,182.5,Freitag,June
Friday,6,6,474.25,Freitag,June
Friday,6,7,475.75,Freitag,June
Friday,6,8,446.0,Freitag,June
Friday,6,9,442.0,Freitag,June
Friday,6,10,472.25,Freitag,June
Friday,6,11,472.5,Freitag,June
Friday,6,12,481.5,Freitag,June
Friday,6,13,465.25,Freitag,June
Friday,6,14,453.0,Freitag,June
Friday,6,15,448.25,Freitag,June
Friday,6,16,420.5,Freitag,June
Friday,6,17,439.25,Freitag,June
Friday,6,18,449.25,Freitag,June
Friday,6,19,392.25,Freitag,June
Friday,6,20,356.0,Freitag,June
Friday,6,21,272.25,Freitag,June
Friday,6,22,269.5,Freitag,June
Friday,6,23,276.5,Freitag,June
Friday,7,0,92.0,Freitag,July
Friday,7,1,67.33333333333333,Freitag,July
Friday,7,2,49.0,Freitag,July
Friday,7,3,39.333333333333336,Freitag,July
Friday,7,4,61.333333333333336,Freitag,July
Friday,7,5,184.66666666666666,Freitag,July
Friday,7,6,460.6666666666667,Freitag,July
Friday,7,7,480.0,Freitag,July
Friday,7,8,424.6666666666667,Freitag,July
Friday,7,9,440.3333333333333,Freitag,July
Friday,7,10,490.0,Freitag,July
Friday,7,11,433.0,Freitag,July
Friday,7,12,452.0,Freitag,July
Friday,7,13,453.6666666666667,Freitag,July
Friday,7,14,462.6666666666667,Freitag,July
Friday,7,15,462.6666666666667,Freitag,July
Friday,7,16,435.5,Freitag,July
Friday,7,17,452.0,Freitag,July
Friday,7,18,384.0,Freitag,July
Friday,7,19,345.6666666666667,Freitag,July
Friday,7,20,312.0,Freitag,July
Friday,7,21,271.0,Freitag,July
Friday,7,22,259.3333333333333,Freitag,July
Friday,7,23,229.0,Freitag,July
Friday,8,0,94.2,Freitag,August
Friday,8,1,51.0,Freitag,August
Friday,8,2,33.4,Freitag,August
Friday,8,3,33.2,Freitag,August
Friday,8,4,56.2,Freitag,August
Friday,8,5,135.0,Freitag,August
Friday,8,6,368.0,Freitag,August
Friday,8,7,394.2,Freitag,August
Friday,8,8,390.2,Freitag,August
Friday,8,9,370.0,Freitag,August
Friday,8,10,400.6,Freitag,August
Friday,8,11,409.2,Freitag,August
Friday,8,12,400.6,Freitag,August
Friday,8,13,418.2,Freitag,August
Friday,8,14,407.8,Freitag,August
Friday,8,15,403.0,Freitag,August
Friday,8,16,402.4,Freitag,August
Friday,8,17,407.2,Freitag,August
Friday,8,18,385.4,Freitag,August
Friday,8,19,340.8,Freitag,August
Friday,8,20,305.6,Freitag,August
Friday,8,21,281.4,Freitag,August
Friday,8,22,231.0,Freitag,August
Friday,8,23,212.0,Freitag,August
Friday,9,0,91.5,Freitag,September
Friday,9,1,60.25,Freitag,September
Friday,9,2,40.25,Freitag,September
Friday,9,3,33.75,Freitag,September
Friday,9,4,60.5,Freitag,September
Friday,9,5,193.75,Freitag,September
Friday,9,6,458.5,Freitag,September
Friday,9,7,497.75,Freitag,September
Friday,9,8,460.0,Freitag,September
Friday,9,9,453.0,Freitag,September
Friday,9,10,451.5,Freitag,September
Friday,9,11,470.5,Freitag,September
Friday,9,12,466.0,Freitag,September
Friday,9,13,483.75,Freitag,September
Friday,9,14,433.0,Freitag,September
Friday,9,15,422.75,Freitag,September
Friday,9,16,416.0,Freitag,September
Friday,9,17,423.5,Freitag,September
Friday,9,18,449.0,Freitag,September
Friday,9,19,393.5,Freitag,September
Friday,9,20,375.0,Freitag,September
Friday,9,21,298.75,Freitag,September
Friday,9,22,293.5,Freitag,September
Friday,9,23,252.0,Freitag,September
Friday,10,0,81.25,Freitag,October
Friday,10,1,50.0,Freitag,October
Friday,10,2,29.75,Freitag,October
Friday,10,3,33.75,Freitag,October
Friday,10,4,60.0,Freitag,October
Friday,10,5,177.0,Freitag,October
Friday,10,6,452.25,Freitag,October
Friday,10,7,457.5,Freitag,October
Friday,10,8,439.25,Freitag,October
Friday,10,9,420.0,Freitag,October
Friday,10,10,425.75,Freitag,October
Friday,10,11,441.25,Freitag,October
Friday,10,12,481.0,Freitag,October
Friday,10,13,453.25,Freitag,October
Friday,10,14,466.75,Freitag,October
Friday,10,15,439.5,Freitag,October
Friday,10,16,464.25,Freitag,October
Friday,10,17,459.25,Freitag,October
Friday,10,18,437.0,Freitag,October
Friday,10,19,394.0,Freitag,October
Friday,10,20,354.0,Freitag,October
Friday,10,21,281.25,Freitag,October
Friday,10,22,282.75,Freitag,October
Friday,10,23,247.75,Freitag,October
Friday,11,0,94.2,Freitag,November
Friday,11,1,57.0,Freitag,November
Friday,11,2,39.6,Freitag,November
Friday,11,3,31.6,Freitag,November
Friday,11,4,62.6,Freitag,November
Friday,11,5,187.6,Freitag,November
Friday,11,6,446.6,Freitag,November
Friday,11,7,486.2,Freitag,November
Friday,11,8,429.6,Freitag,November
Friday,11,9,431.8,Freitag,November
Friday,11,10,452.8,Freitag,November
Friday,11,11,460.8,Freitag,November
Friday,11,12,439.0,Freitag,November
Friday,11,13,447.6,Freitag,November
Friday,11,14,432.4,Freitag,November
Friday,11,15,439.0,Freitag,November
Friday,11,16,421.6,Freitag,November
Friday,11,17,441.8,Freitag,November
Friday,11,18,434.8,Freitag,November
Friday,11,19,409.6,Freitag,November
Friday,11,20,352.6,Freitag,November
Friday,11,21,294.2,Freitag,November
Friday,11,22,302.6,Freitag,November
Friday,11,23,262.8,Freitag,November
Friday,12,0,98.25,Freitag,December
Friday,12,1,71.0,Freitag,December
Friday,12,2,47.0,Freitag,December
Friday,12,3,43.5,Freitag,December
Friday,12,4,60.5,Freitag,December
Friday,12,5,157.0,Freitag,December
Friday,12,6,394.0,Freitag,December
Friday,12,7,409.5,Freitag,December
Friday,12,8,398.0,Freitag,December
Friday,12,9,413.5,Freitag,December
Friday,12,10,452.75,Freitag,December
Friday,12,11,459.5,Freitag,December
Friday,12,12,478.75,Freitag,December
Friday,12,13,469.75,Freitag,December
Friday,12,14,477.0,Freitag,December
Friday,12,15,459.0,Freitag,December
Friday,12,16,448.75,Freitag,December
Friday,12,17,445.75,Freitag,December
Friday,12,18,417.5,Freitag,December
Friday,12,19,361.75,Freitag,December
Friday,12,20,348.5,Freitag,December
Friday,12,21,299.25,Freitag,December
Friday,12,22,293.5,Freitag,December
Friday,12,23,274.0,Freitag,December
Monday,1,0,53.0,Montag,January
Monday,1,1,33.0,Montag,January
Monday,1,2,23.333333333333332,Montag,January
Monday,1,3,27.333333333333332,Montag,January
Monday,1,4,46.666666666666664,Montag,January
Monday,1,5,160.0,Montag,January
Monday,1,6,418.3333333333333,Montag,January
Monday,1,7,503.6666666666667,Montag,January
Monday,1,8,490.3333333333333,Montag,January
Monday,1,9,404.0,Montag,January
Monday,1,10,395.0,Montag,January
Monday,1,11,371.3333333333333,Montag,January
Monday,1,12,385.0,Montag,January
Monday,1,13,406.3333333333333,Montag,January
Monday,1,14,381.3333333333333,Montag,January
Monday,1,15,401.25,Montag,January
Monday,1,16,446.75,Montag,January
Monday,1,17,435.5,Montag,January
Monday,1,18,377.5,Montag,January
Monday,1,19,315.75,Montag,January
Monday,1,20,263.25,Montag,January
Monday,1,21,241.25,Montag,January
Monday,1,22,186.75,Montag,January
Monday,1,23,117.5,Montag,January
Monday,2,0,63.25,Montag,February
Monday,2,1,32.5,Montag,February
Monday,2,2,25.75,Montag,February
Monday,2,3,27.25,Montag,February
